Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year,End,Code,Lat,Lon
6222XJ,Complainer,680,544,,Huurder,2018,XJ,6222,50.8598,5.7102
6211KL,Complainer,452,"378,89",,Huurder,2018,KL,6211,50.8454,5.6872
6211KL,Complainer,,,,Huurder,2019,KL,6211,50.8454,5.6872
3071KS,Defendant,"554,36","554,36",,Huurder,2018,KS,3071,51.9155,4.4987
6114AG,Complainer,"628,17","376,9",,Huurder,2018,AG,6114,51.07,5.8766
6814GE,Defendant,480,480,,Huurder,2018,GE,6814,51.9888,5.8919
6512CV,Complainer,975,"611,26",,Huurder,2018,CV,6512,51.839,5.8593
3028BM,Defendant,695,695,,Huurder,2018,BM,3028,51.9143,4.4213
9713GA,Complainer,710,426,,Huurder,2018,GA,9713,53.219,6.5773
9713GA,Complainer,710,"569,76",,Huurder,2018,GA,9713,53.219,6.5773
9713GA,Complainer,"426,00","710,00",,Verhuurder,2019,GA,9713,53.219,6.5773
9721BH,Complainer,,,,Huurder,2018,BH,9721,53.2001,6.5734
9721BH,Complainer,"283,19","43,76",,Huurder,2019,BH,9721,53.2001,6.5734
9721BH,Complainer,,,,Huurder,2021,BH,9721,53.2001,6.5734
9721BH,Complainer,,,,Huurder,2021,BH,9721,53.2001,6.5734
3205XA,Defendant,"761,26","761,26",,Huurder,2018,XA,3205,51.835,4.3364
3205XA,Defendant,"813,10","813,10",,Huurder,2019,XA,3205,51.835,4.3364
6824KK,Defendant,,,,Huurder,2018,KK,6824,51.9943,5.9318
6824KK,Defendant,,,,Huurder,2018,KK,6824,51.9943,5.9318
6824KK,Defendant,"455,78","455,78",,Huurder,2019,KK,6824,51.9943,5.9318
6824KK,Defendant,,,,Huurder,2020,KK,6824,51.9943,5.9318
3022MG,Defendant,"376,12","376,12",,Huurder,2018,MG,3022,51.9211,4.4474
6525GR,Complainer,300,180,,Huurder,2018,GR,6525,51.8307,5.8586
6512BR,Complainer,"216,98","186,7",,Huurder,2018,BR,6512,51.8401,5.8557
8911KE,Complainer,710,"316,97",,Huurder,2018,KE,8911,53.2028,5.8024
1013SZ,Defendant,"564,47","564,47",,Huurder,2018,SZ,1013,52.3884,4.8804
1092EA,Defendant,925,925,,Huurder,2018,EA,1092,52.3584,4.9236
1077EN,Defendant,,,,Huurder,2018,EN,1077,52.349,4.8715
9716AC,Defendant,710,710,,Huurder,2018,AC,9716,53.2301,6.5612
9716AC,Defendant,710,710,,Huurder,2018,AC,9716,53.2301,6.5612
