Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year
5643HE,Complainer,"513,65","205,46",,Huurder,2018
1061XL,Defendant,"397,24","397,24",,Huurder,2018
5406BJ,Defendant,"675,77","675,77",,Huurder,2018
6511DD,Complainer,335,"98,54",,Huurder,2018
1501ZV,Defendant,"381,17","381,17",,Huurder,2018
3122AG,Defendant,0,0,,Huurder,2018
3063CC,Complainer,,,,Huurder,2018
2806BA,Defendant,"416,93","416,93",,Huurder,2018
2133KP,Complainer,"403,3","322,64",,Huurder,2018
3085HB,Complainer,,,,Huurder,2018
2571ET,Complainer,"729,88","621,61",,Huurder,2018
1016RX,Complainer,"395,57","79,11",,Huurder,2018
1016RX,Complainer,,,,Huurder,2018
1067EX,Complainer,"523,55","209,42",,Huurder,2018
3512JH,Defendant,"487,5","487,5",,Huurder,2018
3512JH,Defendant,"482,5","482,5",,Huurder,2018
3512JH,Defendant,515,515,,Huurder,2018
3512JH,Defendant,470,470,,Huurder,2018
3512JH,Defendant,"487,5","487,5",,Huurder,2018
3512JH,Defendant,"492,5","492,5",,Huurder,2018
3512JH,Defendant,400,400,,Huurder,2018
3512JH,Defendant,475,475,,Huurder,2018
3512JH,Defendant,475,475,,Huurder,2018
3512JH,Defendant,470,470,,Huurder,2018
3512JH,Defendant,465,465,,Huurder,2018
3512JH,Defendant,685,685,,Huurder,2018
2522EV,Complainer,,,,Huurder,2018
5615CB,Complainer,,,,Huurder,2018
3042SB,Complainer,"710,68","704,56",,Huurder,2018
3035AL,Complainer,"697,37","557,9",,Huurder,2018
5341KK,Defendant,,,,Huurder,2018
3034NC,Complainer,"625,8","250,32",,Huurder,2018
9711NM,Complainer,,,,Huurder,2018
6523RB,Defendant,420,420,,Huurder,2018
1087JB,Complainer,"620,49","496,39",,Huurder,2018
3904ET,Defendant,"667,45","667,45",,Huurder,2018
3527GM,Defendant,980,980,,Huurder,2018
6523RB,Defendant,370,370,,Huurder,2018
3527GM,Defendant,980,980,,Huurder,2018
3527GM,Defendant,980,980,,Huurder,2018
6524CH,Complainer,230,92,,Huurder,2018
2263XV,Complainer,"536,4","429,12",,Huurder,2018
3073HH,Complainer,700,"409,03",,Huurder,2018
1056SP,Defendant,"400,98","400,98",,Huurder,2018
2041SL,Defendant,"540,56","540,56",,Huurder,2018
3513AN,Complainer,330,"228,91",,Huurder,2018
3513AN,Complainer,280,"193,53",,Huurder,2018
1073HJ,Defendant,"301,99","301,99",,Huurder,2018
1016CV,Complainer,"542,62","217,05",,Huurder,2018
1064KD,Defendant,"431,05","172,42",,Huurder,2018
1032JC,Defendant,"593,55","593,55",,Huurder,2018
5632MB,Complainer,175,"55,82",,Huurder,2018
3513AN,Complainer,375,"258,55",,Huurder,2018
6523KD,Complainer,"409,25","327,4",,Huurder,2018
3071CH,Defendant,"531,21","531,21",,Huurder,2018
3512JH,Defendant,,,,Huurder,2018
5613EG,Complainer,635,"344,83",,Huurder,2018
1072HN,Defendant,1450,1450,,Huurder,2018
2012xv,Complainer,"415,05","166,02",,Huurder,2018
1057PR,Defendant,"596,73","596,73",,Huurder,2018
6511MJ,Complainer,"269,26","215,41",,Huurder,2018
3513AN,Complainer,255,"172,72",,Huurder,2018
3513AN,Complainer,305,"233,67",,Huurder,2018
3513AN,Complainer,253,"176,91",,Huurder,2018
3513AN,Complainer,,,,Huurder,2018
3513AN,Complainer,,,,Huurder,2018
6541SN,Complainer,"262,95","44,33",,Huurder,2018
1015LP,Complainer,"599,11","359,47",,Huurder,2018
4817BE,Complainer,180,99,"29,7",Huurder,2018
3022GH,Complainer,"228,73","571,83",,Verhuurder,2018
4817BE,Complainer,210,"115,5","34,65",Huurder,2018
1013EE,Complainer,"2.270,00","1.248,50",,Huurder,2018
3051NG,Complainer,"694,44","507,52",,Huurder,2018
3053WH,Defendant,,,,Huurder,2018
3075MC,Complainer,530,,212,Huurder,2018
4827MA,Complainer,"656,97",,"262,79",Huurder,2018
3701HH,Complainer,440,245,,Huurder,2018
3971LJ,Complainer,519,"502,36",,Huurder,2018
3971LJ,Complainer,"531,87","507,52",,Huurder,2018
3971LJ,Complainer,"594,04","569,76",,Huurder,2018
1013DD,Defendant,"439,4","439,4",,Huurder,2018
1015XK,Complainer,"290,67",,"232,54",Huurder,2018
3082HA,Complainer,586,,586,Huurder,2018
1055AV,Complainer,"479,27",,"191,71",Huurder,2018
3036EE,Defendant,,,,Huurder,2018
2641VL,Complainer,,,,Huurder,2018
1035RD,Complainer,"591,59","591,59",,Huurder,2018
1062AC,Defendant,533,533,,Huurder,2018
3971LG,Complainer,"594,04","554,22",,Huurder,2018
3971LJ,Complainer,"531,87","512,73",,Huurder,2018
1381EX,Complainer,,,,Huurder,2018
4817BE,Complainer,300,165,"49,5",Huurder,2018
1216PZ,Defendant,"599,07","630,77",,Huurder,2018
1216PW,Defendant,"544,09","567,43",,Huurder,2018
3971LG,Complainer,521,"486,79",,Huurder,2018
1216PL,Defendant,"663,12","710,23",,Huurder,2018
1216PP,Defendant,"547,36","586,13",,Huurder,2018
3971LJ,Defendant,"522,98","522,98",,Huurder,2018
3971LH,Complainer,"521,1","517,91",,Huurder,2018
3971LJ,Complainer,"521,1","502,36",,Huurder,2018
3971LG,Complainer,594,"554,22",,Huurder,2018
5014HG,Complainer,,,,Huurder,2018
3544PZ,Defendant,,,,Huurder,2018
4711KA,Defendant,"677,46","677,46",,Huurder,2018
2241RL,Complainer,,,,Verhuurder,2018
2241RL,Complainer,,,,Verhuurder,2018
4827KB,Complainer,,,,Verhuurder,2018
4827KB,Complainer,,,,Verhuurder,2018
3971LJ,Complainer,"531,87","486,79",,Huurder,2018
9718KE,Complainer,,,,Huurder,2018
9718KE,Complainer,,,,Huurder,2018
9718KE,Complainer,,,,Huurder,2018
1216PX,Defendant,"663,12","710,23",,Huurder,2018
2612KV,Complainer,"241,03",,"542,31",Verhuurder,2018
1221KL,Defendant,"413,23","413,23",,Huurder,2018
3971LG,Complainer,"521,1","497,17",,Huurder,2018
3971LJ,Complainer,"521,1","491,97",,Huurder,2018
1216PW,Defendant,"547,36","586,13",,Huurder,2018
1216PN,Defendant,"547,36","583,12",,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
1507AG,Complainer,,,,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
4611AH,Complainer,,,,Huurder,2018
2104TK,Complainer,"739,28",,"295,71",Huurder,2018
7433AE,Complainer,"651,43","583,56",,Huurder,2018
2396XS,Defendant,,,,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
6044SH,Defendant,483,483,,Huurder,2018
1507AG,Complainer,,,,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
2543SG,Defendant,,,,Huurder,2018
6041TH,Defendant,,,,Huurder,2018
3145AK,Complainer,"599,57",,"359,74",Huurder,2018
1115VM,Complainer,,,,Huurder,2018
6221XG,Complainer,,,,Huurder,2018
3532SE,Complainer,,,,Huurder,2018
6211PE,Complainer,,,,Huurder,2018
6211PE,Complainer,,,,Huurder,2018
1216PV,Defendant,"657,18","706,38",,Huurder,2018
3511EH,Complainer,,,,Huurder,2018
1811EW,Complainer,"668,2","645,59",,Huurder,2018
1825RL,Complainer,,,,Huurder,2018
1068KZ,Complainer,,,,Huurder,2018
1216PV,Defendant,"547,36","586,13",,Huurder,2018
1216PS,Defendant,"600,87","647,03",,Huurder,2018
1216PS,Defendant,"663,12","704,89",,Huurder,2018
1216PV,Defendant,"504,91","537,1",,Huurder,2018
1216PT,Defendant,"663,12","710,23",,Huurder,2018
1216PT,Defendant,"663,12","710,33",,Huurder,2018
1216PS,Defendant,"663,12","710,23",,Huurder,2018
1216PV,Defendant,"657,18","706,38",,Huurder,2018
1216PT,Defendant,"547,36","586,13",,Huurder,2018
1216PV,Defendant,"657,18","706,38",,Huurder,2018
1216PT,Defendant,"663,22","710,23",,Huurder,2018
1216PV,Defendant,"634,07","680,23",,Huurder,2018
9722EW,Defendant,"140,68","140,68",,Huurder,2018
1057VH,Complainer,"384,19","384,19","307,35",Huurder,2018
8701KL,Defendant,,,,Huurder,2018
1161CR,Complainer,,,,Huurder,2018
1161CR,Complainer,,,,Huurder,2018
1161CR,Complainer,,,,Huurder,2018
6181PH,Defendant,,,,Huurder,2018
4817BE,Complainer,230,"126,5","37,95",Huurder,2018
1115TC,Complainer,,,,Huurder,2018
1115TC,Complainer,,,,Huurder,2018
2011LK,Defendant,"470,65","470,65",,Huurder,2018
2624ZB,Defendant,,,,Huurder,2018
1072VD,Complainer,"433,25",,"346,6",Huurder,2018
1115TM,Complainer,,,,Huurder,2018
1103LR,Complainer,400,"239,39",,Huurder,2018
2552XS,Complainer,"683,13",,"409,88",Huurder,2018
1722XG,Complainer,,,,Huurder,2018
3582EV,Complainer,,,,Huurder,2018
3582EV,Complainer,,,,Huurder,2018
3582EV,Complainer,,,,Huurder,2018
3582EV,Complainer,,,,Huurder,2018
6826DX,Defendant,"650,78","650,78",,Huurder,2018
2531VR,Complainer,"550,03","220,01","220,01",Huurder,2018
1091CM,Complainer,"629,06","251,62",,Huurder,2018
1507AE,Complainer,,,,Huurder,2018
1506NS,Defendant,,,,Huurder,2018
2613CK,Complainer,,,,Huurder,2018
2201XA,Defendant,610,610,,Huurder,2018
5264PC,Complainer,,,,Huurder,2018
5264PC,Complainer,,,,Huurder,2018
5025DP,Complainer,,,,Huurder,2018
3074BA,Complainer,"156,82",460,,Verhuurder,2018
5025DJ,Complainer,,,,Huurder,2018
5025DJ,Complainer,,,,Huurder,2018
2201XA,Defendant,635,635,,Huurder,2018
6227AD,Complainer,,,,Huurder,2018
6114JM,Defendant,,,,Huurder,2018
2201XA,Defendant,635,635,,Huurder,2018
5014GA,Defendant,,,,Huurder,2018
3069SK,Defendant,,,,Huurder,2018
5014GA,Defendant,,,,Huurder,2018
2201XA,Complainer,750,"650,78",,Huurder,2018
2011LK,Defendant,,,,Huurder,2018
9712ND,Complainer,,,,Huurder,2018
9712ND,Complainer,,,,Huurder,2018
2544VG,Defendant,,,,Huurder,2018
2572AL,Complainer,,,,Huurder,2018
3553EM,Complainer,,,,Huurder,2018
2716DJ,Defendant,,,,Huurder,2018
3551CE,Complainer,380,145,,Huurder,2018
9724CX,Complainer,"631,21","569,76",,Huurder,2018
2312DS,Complainer,,,,Huurder,2018
4834GH,Defendant,"589,86","589,86",,Huurder,2018
3706ET,Defendant,"373,91","373,91",,Huurder,2018
3551CE,Complainer,485,"231,88",,Huurder,2018
3551CE,Complainer,440,195,,Huurder,2018
3562JV,Complainer,355,"299,58",,Huurder,2018
2522WL,Complainer,,,,Huurder,2018
9725AH,Defendant,290,290,,Huurder,2018
2544VD,Defendant,,,,Huurder,2018
5014SH,Complainer,,,,Huurder,2018
3722WR,Complainer,,,,Huurder,2018
3531AR,Complainer,350,140,,Huurder,2018
3531AR,Complainer,,,,Huurder,2018
3551CE,Complainer,475,235,,Huurder,2018
6538BR,Defendant,"917,16","917,16",,Huurder,2018
2914CD,Complainer,"560,05","168,01",,Huurder,2018
6211RB,Complainer,725,"607,52",,Huurder,2018
2382AE,Complainer,935,"637,18",,Huurder,2018
9717BC,Complainer,,,,Huurder,2018
9743ND,Complainer,,,,Huurder,2018
9752NP,Defendant,,,,Huurder,2018
3551ED,Complainer,1075,"344,83",,Huurder,2018
2273DE,Complainer,830,"619,75",,Huurder,2018
3511VL,Complainer,,,,Huurder,2018
1033DX,Defendant,,,,Huurder,2018
5014HA,Defendant,"785,15","785,15",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
9711GM,Complainer,,,,Huurder,2018
1017NJ,Complainer,,,,Huurder,2018
3061EH,Complainer,1300,"637,18",,Huurder,2018
2033KB,Defendant,"418,67","418,67",,Huurder,2018
2562EC,Complainer,,,,Huurder,2018
3052jp,Defendant,,,,Huurder,2018
3562JV,Complainer,350,277,,Huurder,2018
3083CG,Defendant,550,550,,Huurder,2018
2831XB,Defendant,"511,36","511,36",,Huurder,2018
3086EV,Defendant,297,297,,Huurder,2018
3582KH,Complainer,,,,Huurder,2018
1051MJ,Complainer,"706,81","282,72",,Huurder,2018
9715JM,Complainer,265,159,,Huurder,2018
3251CT,Defendant,"428,81","428,81",,Huurder,2018
